Timestamp,Please rank how engaged you are in Stats 95 on a scale from 1 to 10.,Please rank how much you think you're learning in Stats 95 on a scale from 1 to 10.
3/15/2013 8:49:13,9,9
3/15/2013 9:08:40,8,7
3/15/2013 9:18:04,9,9
3/15/2013 9:22:45,5,7
3/15/2013 9:25:17,8,8
3/15/2013 9:25:46,10,9
3/15/2013 9:35:57,10,10
3/15/2013 9:44:20,5,2
3/15/2013 9:47:10,8,7
3/15/2013 10:16:36,10,8
3/15/2013 10:18:47,9,9
3/15/2013 10:23:02,8,9
3/15/2013 10:40:09,9,9
3/15/2013 11:36:22,7,3
3/15/2013 11:37:46,8,9
3/15/2013 11:44:29,7,9
3/15/2013 11:55:21,7,6
3/15/2013 12:05:51,8,7
3/15/2013 12:33:38,8,8
3/15/2013 12:40:29,10,5
3/15/2013 12:40:33,9,10
3/15/2013 12:42:42,9,8
3/15/2013 13:06:12,8,10
3/15/2013 13:18:12,2,2
3/15/2013 13:56:21,8,7
3/15/2013 14:02:42,2,4
3/15/2013 14:18:26,10,10
3/15/2013 14:49:12,9,9
3/15/2013 15:06:42,8,8
3/15/2013 16:19:21,5,5
3/15/2013 16:26:32,6,6
3/15/2013 18:32:27,9,8
3/15/2013 19:47:09,7.5,8.7
3/15/2013 20:26:54,9,10
3/15/2013 20:38:06,7,10
3/15/2013 20:54:30,8,10
3/15/2013 21:50:44,5,7
3/15/2013 22:22:42,7,7
3/15/2013 22:42:38,9,10
3/16/2013 1:52:29,9,8
3/16/2013 2:51:40,9,7
3/16/2013 3:00:07,9,10
3/16/2013 7:57:10,8,6
3/16/2013 8:12:21,8,7
3/16/2013 8:34:39,9,10
3/16/2013 9:19:08,8,8
3/16/2013 9:26:51,9,9
3/16/2013 9:53:03,9,10
3/16/2013 10:16:19,8,7
3/16/2013 10:20:38,6,6
3/16/2013 13:02:31,3,6
